steps,episodes,elapsed,mean,median,stdev,max,min,average_q,average_loss,cumulative_steps,n_updates,rlen
42014,14,1260.9955697059631,0.8000000044703484,0.8000000044703484,0.0,0.8000000044703484,0.8000000044703484,nan,3.886387357711792,42014,5503,42014
45015,15,1356.9763832092285,0.6000000014901161,0.6000000014901161,0.0,0.6000000014901161,0.6000000014901161,nan,3.886333653926849,45015,6253,45015
48016,16,1455.2606916427612,-4.499999992549419,-4.499999992549419,0.0,-4.499999992549419,-4.499999992549419,nan,3.8865297293663024,48016,7004,48016
51017,17,1552.571453332901,-0.5999999865889549,-0.5999999865889549,0.0,-0.5999999865889549,-0.5999999865889549,nan,3.8861938190460203,51017,7754,51017
54018,18,1650.88241314888,-3.5999999940395355,-3.5999999940395355,0.0,-3.5999999940395355,-3.5999999940395355,nan,3.8862172627449034,54018,8504,54018
57019,19,1750.5710427761078,-0.09999997168779373,-0.09999997168779373,0.0,-0.09999997168779373,-0.09999997168779373,nan,3.8863376927375795,57019,9254,57019
60020,20,1849.0388069152832,-0.29999998211860657,-0.29999998211860657,0.0,-0.29999998211860657,-0.29999998211860657,nan,3.8864356780052187,60020,10005,60020
63021,21,1949.2612211704254,-1.5999999940395355,-1.5999999940395355,0.0,-1.5999999940395355,-1.5999999940395355,nan,3.8860144877433775,63021,10755,63021
66022,22,2050.373291015625,-0.29999998211860657,-0.29999998211860657,0.0,-0.29999998211860657,-0.29999998211860657,nan,3.862196247577667,66022,11505,66022
69023,23,2149.4033641815186,-2.299999989569187,-2.299999989569187,0.0,-2.299999989569187,-2.299999989569187,nan,3.8617606496810915,69023,12255,69023
72024,24,2248.677894115448,-2.899999998509884,-2.899999998509884,0.0,-2.899999998509884,-2.899999998509884,nan,3.8698044204711914,72024,13006,72024
